key,code,moment,startDate,expirationDate,amount,type,contact,link,draftMode,key:project,key:sponsor
sponsorship-01,"SPO-001",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 1100.00",FINANCIAL,"example@gmail.com","https://www.example.com",false,project-01,sponsor-01
sponsorship-02,"SPO-002",2022/01/01 00:00,2022/01/15 17:30,2022/04/01 17:30,"EUR 825.00",FINANCIAL,"example@gmail.com","https://www.example.com",false,project-01,sponsor-01
sponsorship-03,"SPO-003",2022/01/01 12:00,2022/01/15 17:30,2022/04/01 17:30,"EUR 1050.00",FINANCIAL,"example@gmail.com","https://www.example.com",false,project-01,sponsor-02
sponsorship-04,"SPO-004",2022/01/01 23:59,2022/01/15 17:30,2022/04/01 17:30,"EUR 160.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-01,sponsor-01
sponsorship-05,"SPO-005",2021/12/31 23:59,2022/01/15 17:30,2022/04/01 17:30,"EUR 900.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-01,sponsor-01
sponsorship-06,"SPO-006",2021/12/31 00:00,2022/01/15 17:30,2022/04/01 17:30,"EUR 1000.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-01,sponsor-02
sponsorship-07,"SPO-007",2022/01/01 17:30,2022/01/01 17:31,2022/04/01 17:30,"EUR 1000.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-01,sponsor-01
sponsorship-08,"SPO-008",2022/01/01 00:00,2022/01/01 18:30,2022/04/01 17:30,"EUR 500.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-02,sponsor-01
sponsorship-09,"SPO-009",2022/01/01 12:00,2022/01/01 23:59,2022/04/01 17:30,"EUR 600.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-02,sponsor-02
sponsorship-10,"SPO-010",2022/01/01 23:59,2022/03/01 00:00,2022/04/01 00:01,"EUR 700.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-02,sponsor-01
sponsorship-11,"SPO-011",2021/12/31 23:59,2022/03/01 12:00,2022/04/01 23:59,"EUR 755.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-02,sponsor-01
sponsorship-12,"SPO-012",2021/12/31 00:00,2022/03/01 23:59,2022/04/10 02:33,"EUR 1012.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-02,sponsor-02
sponsorship-13,"SPO-013",2021/12/31 00:00,2022/03/01 05:50,2022/04/10 02:33,"EUR 950.00",FINANCIAL,"example@gmail.com","https://www.example.com",true,project-02,sponsor-02
sponsorship-14,"SPO-014",2021/12/31 00:00,2022/03/01 05:50,2022/04/10 02:33,"USD 150.00",IN_KIND,"example@gmail.com","https://www.example.com",true,project-03,sponsor-01
sponsorship-15,"SPO-015",2021/12/31 00:00,2022/03/01 05:50,2022/04/10 02:33,"GBP 2000.00",IN_KIND,"example@gmail.com","https://www.example.com",true,project-03,sponsor-01
sponsorship-16,"SPO-016",2021/12/31 00:00,2022/03/01 05:50,2022/04/10 02:33,"EUR 1000000.00",IN_KIND,"example@gmail.com","https://www.example.com",true,project-03,sponsor-02
sponsorship-17,"SPO-017",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"USD 700000.00",FINANCIAL,,"https://www.example.com",true,project-03,sponsor-01
sponsorship-18,"SPO-018",2022/01/01 17:30,2022/01/15 17:30,2022/04/01 17:30,"EUR 340.00",IN_KIND,,"https://www.example.com",true,project-03,sponsor-01
